dec	hex	name
0	0x0000	EID_DEBUG
1	0x0001	EID_INFO
2	0x0002	EID_WARN
3	0x0003	EID_ERROR
1000	0x03e8	EID_I_EVENT_BEGIN
1001	0x03e9	EID_I_START
1002	0x03ea	EID_I_WHEEL_ERROR_RESUME
1003	0x03eb	EID_I_SIDE_BRUSH_ERROR_RESUME
1004	0x03ec	EID_I_MIDDLE_BRUSH_ERROR_RESUME
1005	0x03ed	EID_I_FAN_SPEED_ERROR_RESUME
1006	0x03ee	EID_I_WALL_DIRTY_RESUME
1007	0x03ef	EID_I_DROP_RESUME
1008	0x03f0	EID_I_LIDAR_COVER_RESUME
1009	0x03f1	EID_I_COLLISION_RESUME
1010	0x03f2	EID_I_PSD_RESUME
1011	0x03f3	EID_I_PICK_UP_RESUME
1012	0x03f4	EID_I_GARBAGE_BOX_IN
1013	0x03f5	EID_I_WATER_PUMP_RESUME
1014	0x03f6	EID_I_ULTRASONIC_WARN_RESUME
1015	0x03f7	EID_I_DUST_COVER_OPEN_RESUME
1016	0x03f8	EID_I_WATER_BOX_IN
1017	0x03f9	EID_I_MOP_PLUG_IN
1018	0x03fa	EID_I_MOP_PLUG_OUT
1019	0x03fb	EID_I_WALK_IN_RUG
1020	0x03fc	EID_I_WALK_OUT_RUG
1021	0x03fd	EID_I_FIND_POSTION_FINISHED
1022	0x03fe	EID_I_SLAM_MAP_UPDATE
1023	0x03ff	EID_I_RESTART_WORK_AND_BUILDMAP
1024	0x0400	EID_I_FIRMWARE_UPGRADE_PROGRESS
1025	0x0401	EID_I_MCU_UPGRADE_PROGRESS
1026	0x0402	EID_I_CHARGE
1027	0x0403	EID_I_CHARGE_FULL
1028	0x0404	EID_I_STOP_CHARGE
1029	0x0405	EID_I_POWER_KEY_CLICK
1030	0x0406	EID_I_POWER_KEY_PRESS
1031	0x0407	EID_I_HOME_KEY_CLICK
1032	0x0408	EID_I_HOME_KEY_PRESS
1033	0x0409	EID_I_DOUBLE_KEY_PRESS
1034	0x040a	EID_I_THREE_KEY_PRESS
1035	0x040b	EID_I_AREA_KEY_CLICK
1036	0x040c	EID_I_AREA_KEY_PRESS
1037	0x040d	EID_I_ENTER_CEC_MODE
